Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Homogenization_Temp,Homogenization_Time,Annealing_Time_(min),Phases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.975229265,3.111111111,9.134370237,626.5960266,2374.666667,7.774115706,1.064065164,0.041096093,4.666666667,1,1400.0,120.0,360.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.491418361,2.64,10.92382327,548.6853236,2093.6,9.793166188,4.991703425,0.109859001,4.4,1,1400.0,120.0,360.0,1
0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.594663456,-0.96,10.92382327,518.8312471,1979.7,25.6351409,7.023519911,0.121082616,4.5,1,1400.0,120.0,360.0,1
0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.056892659,-4.973006811,13.38160786,317.6131832,1223.40391,4.026999827,5.612451827,0.111524469,8.197916667,2,1200.0,120.0,600.0,4
0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.056892659,-4.973006811,13.38160786,317.6131832,1223.40391,4.026999827,5.612451827,0.111524469,8.197916667,2,1200.0,120.0,600.0,4
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.76,-17.44,13.38,515.8708658,1987.09,1.52,5.53,0.11,4.2,1,1200.0,120.0,1440.0,1
0.243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.243902439,0.243902439,0.243902439,0.0,0.024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.540863957,-16.75193337,12.198543,426.6962822,1636.160469,1.390335392,4.420373774,0.052617394,4.243902439,1,1200.0,120.0,1440.0,3
0.235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.235294118,0.235294118,0.235294118,0.0,0.058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.587998462,-17.38408304,12.70837022,428.692442,1647.036543,1.403723246,4.966561777,0.070332871,4.235294118,1,1200.0,120.0,1440.0,3
0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222,0.222222222,0.222222222,0.0,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.65713141,-18.17283951,13.14594406,432.0973738,1662.916305,1.400519679,5.607337231,0.089083121,4.222222222,1,1200.0,120.0,1440.0,3
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.76,-17.44,13.38,515.8708658,1987.09,1.52,5.53,0.11,4.2,1,1200.0,120.0,1440.0,3
